Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
Llewellyn's 2024 Witches' Datebook,172,4.9,336,11.11,Witchcraft,Llewellyn Publications,,Llewellyn Llewellyn,168
New Morning Mercies: A Daily Gospel Devotional,173,4.9,11780,8.79,Devotionals,Crossway,Crossway,Paul David Tripp,384
Hookers and Blow Save Christmas,174,4.7,4469,9.95,Limericks & Humorous Verse,Whamdoozer Company,Whamdoozer Company,Munty C Pepin,22
Chainsaw Man Box Set: Includes volumes 1-11,175,4.6,319,59.99,Fantasy,VIZ Media LLC,,Tatsuki Fujimoto,2112
The Shadow Work Journal: A Guide to Integrate and Transcend your Shadows,177,4.6,3292,15.13,Dreams,Independently published,,Keila Shaheen,138
"Fast Like a Girl: A Woman's Guide to Using the Healing Power of Fasting to Burn Fat, Boost Energy, and Balance Hormones",178,4.7,3425,13.80,Healing,Hay House Inc.,Dr. Mindy Pelz,Dr. Mindy Pelz,336
"Things We Left Behind (Knockemout Series, 3)",179,4.6,49150,10.94,Small Town & Rural,Bloom Books,,Lucy Score,592
"101 CALMNESS: Adult Coloring Book — Relaxing Book to Calm your Mind and Stress Relief — Beautiful Designs of Animals, Landscape, Beach, House, Birds, Flowers, and more",180,4.5,688,8.71,Book Design,Independently published,,AMA Coloring,207
Dragons Love Tacos,180,4.8,18700,5.43,Animals,Dial Books,Dial Books,Rubin Adam,40
"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Between",181,4.6,8627,5.70,Family Health,Spotlight Media,,Karen Harris,139
Wacky Waving Inflatable Tube Guy (RP Minis),183,4.0,38897,8.58,Humor,RP Minis,RP Minis,Conor Riordan,32
Trust (Pulitzer Prize Winner),184,4.1,20209,11.70,Biographical,Penguin Publishing Group,KMOOL,Hernan Diaz,416
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again",185,4.8,22348,15.43,Motivational,Thomas Nelson,Thomas Nelson,Lysa TerKeurst,288
The 5 Love Languages: The Secret to Love that Lasts,186,4.8,91322,3.34,Love & Romance,Northfield Publishing,Northfield Publishing,Gary Chapman,208
"RH/Disney, The Never Girls Collection #1: Books 1-4",187,4.8,14040,7.05,Friendship,RH/Disney,RH/Disney,Kiki Thorpe,128
Mindful Patterns Coloring Book for Adults: An Adult Coloring Book with Easy and Relieving Mindful Patterns Coloring Pages Prints for Stress Relief & ... Mandala Style Patterns Decorations to Color.,188,4.5,1799,7.76,Individual Artists,Independently published,,Color Me Chill,102
"Tell Me Your Life Story, Grandma: A Grandmother’s Guided Journal and Memory Keepsake Book (Tell Me Your Life Story® Series Books)",189,4.8,2438,10.89,Grandparenting,Questions About Me,,Questions About Me,122
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,190,4.7,44477,11.00,Happiness,Grand Central Publishing,Grand Central Publishing,Admiral William H. McRaven,144
"CSB She Reads Truth Bible, Gray Linen Cloth Over Board, Black Letter, Full-Color Design, Wide Margins, Notetaking Space, Devotionals, Reading Plans, Easy-To-Read Bible Serif Type",190,4.9,5182,24.25,Bibles,Holman Bible Publishers,Holman Bible Publishers,Raechel Myers,2226
